price,area,status,bhk,bathroom,age,location,log_price
37.49,872,Ready to move,2,2.0,1.0,Sembakkam,3.6503984672956546
93.54,1346,Under Construction,3,2.0,0.0,Selaiyur,4.5490230253650905
151.0,2225,Under Construction,3,2.0,0.0,Mogappair,5.0238805208462765
49.0,1028,Ready to move,2,2.0,3.0,Ambattur,3.912023005428146
42.28,588,Under Construction,2,1.0,0.0,Pallavaram,3.767690634538226
188.0,2221,Under Construction,3,3.0,0.0,others,5.241747015059643
38.0,885,Under Construction,3,2.0,0.0,Thirumazhisai,3.6635616461296463
72.99,936,Ready to move,3,2.0,6.0,others,4.303929948937459
125.0,2275,Ready to move,4,2.0,1.0,others,4.836281906951478
24.56,622,Under Construction,2,2.0,0.0,Perungalathur,3.241028629509334
67.87,1305,Under Construction,3,2.0,0.0,Gerugambakkam,4.232220669556607
240.0,1500,Ready to move,3,3.0,1.0,Anna Nagar,5.484796933490655
407.0,2200,Under Construction,3,2.0,0.0,others,6.0112671744041615
51.46,919,Under Construction,2,2.0,0.0,Pammal,3.9600509744387278
69.47,965,Under Construction,2,2.0,0.0,Porur,4.255187087338931
113.0,2343,Ready to move,4,4.0,5.0,Navallur,4.736198448394496
18.0,353,Under Construction,1,2.0,0.0,Thirumazhisai,2.9444389791664403
224.0,1450,Under Construction,3,2.0,0.0,Anna Nagar,5.41610040220442
100.0,1833,Ready to move,3,2.0,0.0,Sholinganallur,4.61512051684126
45.99,920,Under Construction,2,2.0,0.0,Vanagaram,3.849934813114724
73.75,1405,Under Construction,3,2.0,0.0,Sholinganallur,4.314149212270796
455.0,2601,Under Construction,4,2.0,0.0,T Nagar,6.1224928095143865
391.0,2475,Under Construction,4,2.0,0.0,Guindy,5.971261839790462
80.73,1242,Under Construction,2,2.0,0.0,Madipakkam,4.403421131528038
31.96,969,Ready to move,2,2.0,1.0,Perumbakkam,3.495294705041271
81.3,937,Under Construction,2,2.0,0.0,Velachery,4.410371107683024
72.05,1310,Under Construction,3,2.0,0.0,Medavakkam,4.291144138196708
91.36,1340,Ready to move,3,2.0,2.0,Gowrivakkam,4.525693984486295
50.76,1045,Ready to move,2,2.0,1.0,Chromepet,3.946617650192645
62.75,1004,Under Construction,2,2.0,0.0,Sholinganallur,4.154969184038536
57.5,920,Under Construction,2,1.0,0.0,Ambattur,4.069026754237811
50.22,1005,Ready to move,2,2.0,1.0,others,3.9361300807713793
22.36,713,Under Construction,2,2.0,0.0,others,3.151025157960026
19.8,900,Ready to move,2,2.0,1.0,Thirumazhisai,3.0349529867072724
84.13,1325,Under Construction,2,2.0,0.0,Medavakkam,4.444179499895966
58.43,1113,Under Construction,2,2.0,0.0,Ayanambakkam,4.084799149378569
330.0,3670,Ready to move,3,2.0,3.0,others,5.802118375377063
80.32,1208,Ready to move,2,2.0,4.0,Madipakkam,4.398391988760146
290.0,1600,Under Construction,3,2.0,0.0,Adyar,5.673323267171493
40.02,870,Ready to move,2,2.0,3.0,Kolapakkam,3.7140597526442347
42.07,1275,Under Construction,3,2.0,0.0,Thaiyur,3.7628266990660193
48.61,884,Ready to move,2,2.0,1.0,others,3.9041924263129575
49.12,1092,Under Construction,2,2.0,0.0,Poonamallee,3.9144201300278674
42.28,588,Under Construction,2,1.0,0.0,Pallavaram,3.767690634538226
50.21,1152,Ready to move,2,3.0,1.0,Padur,3.935934825474459
40.75,910,Under Construction,2,2.0,0.0,Perumbakkam,3.7316994512968646
261.0,1548,Ready to move,3,2.0,1.0,Adyar,5.568344503761097
47.04,920,Under Construction,2,2.0,0.0,Perumbakkam,3.872033997211783
45.79,669,Ready to move,2,2.0,1.0,East Tambaram,3.845669504878125
33.77,866,Under Construction,2,2.0,0.0,Chromepet,3.5487549460197703
65.69,1381,Ready to move,3,2.0,0.0,Tiruvottiyur,4.200055016644215
118.0,1740,Ready to move,3,2.0,4.0,Iyappanthangal,4.77912349311153
50.31,1450,Ready to move,3,2.0,1.0,others,3.9378856649538734
78.71,1212,Under Construction,2,2.0,0.0,Porur,4.378395048439832
29.62,528,Ready to move,2,2.0,1.0,Pammal,3.4216533902295376
88.27,1605,Under Construction,3,2.0,0.0,Mugalivakkam,4.4916654851912705
43.44,932,Under Construction,2,2.0,0.0,Pammal,3.7941399647714293
33.05,1002,Ready to move,2,2.0,3.0,Kelambakkam,3.527830032595521
29.56,768,Under Construction,2,2.0,0.0,Thirumullaivoyal,3.4196919642983197
88.39,1637,Ready to move,3,2.0,1.0,Poonamallee,4.493008819099761
33.23,773,Ready to move,2,2.0,1.0,Sembakkam,3.533102452542094
84.79,1220,Under Construction,3,3.0,0.0,Selaiyur,4.451902449584874
134.0,1974,Under Construction,3,2.0,0.0,Mogappair,4.90527477843843
67.0,1195,Ready to move,3,2.0,3.0,Ambattur,4.219507705176107
71.08,1021,Under Construction,2,1.0,0.0,Pallavaram,4.277776613300082
188.0,2221,Under Construction,3,3.0,0.0,others,5.241747015059643
31.0,730,Under Construction,2,2.0,0.0,Thirumazhisai,3.4657359027997265
83.03,1101,Ready to move,3,2.0,6.0,others,4.431173877940127
146.0,2669,Ready to move,4,2.0,1.0,others,4.990432586778736
20.14,510,Under Construction,1,2.0,0.0,Perungalathur,3.051166980442092
76.2,1480,Under Construction,3,2.0,0.0,Gerugambakkam,4.3463994570307305
240.0,1500,Under Construction,3,2.0,0.0,Anna Nagar,5.484796933490655
51.46,919,Under Construction,2,2.0,0.0,Pammal,3.9600509744387278
66.44,923,Under Construction,2,2.0,0.0,Porur,4.2112383136936
112.0,2323,Ready to move,4,2.0,5.0,Navallur,4.727387818712341
29.0,544,Under Construction,1,2.0,0.0,Thirumazhisai,3.4011973816621555
158.0,1025,Under Construction,2,2.0,0.0,Anna Nagar,5.0689042022202315
108.0,1972,Ready to move,3,2.0,0.0,Sholinganallur,4.6913478822291435
